,baseline,voc 1,voc 2,voc 3,voc 4,voc 5,voc 6,voc 7,voc 8,voc 9,voc 10,voc 11,voc 12,voc 13,voc 14,voc 15,voc 16,voc 17,voc 18
0,0.01574883863963582,0.002137894174238375,0.0022851919561243145,0.0025222354971458916,0.003028185418122525,0.0028720626631853785,0.0025662959794696323,0.0033932135728542913,0.0014290818149339049,0.0018950161076369148,0.0024822695035460994,0.001893939393939394,0.003627130939426913,0.0020453881367488067,0.0016036655211912943,0.0014196479273140261,0.0035587188612099642,0.003098373353989156,0.0020526855969893944
1,0.005917463039153104,0.013629075360769643,0.008226691042047532,0.007035709544670118,0.007453994875378523,0.010182767624020888,0.005275163957798689,0.0027944111776447107,0.006430868167202572,0.009285578927420882,0.006028368794326241,0.008116883116883116,0.008705114254624592,0.0063309632804129734,0.0027491408934707906,0.006246450880181715,0.0071174377224199285,0.008133230054221533,0.010605542251111872
2,0.004132905287975435,0.0016034206306787815,0.0022851919561243145,0.0017257400769945573,0.0011646866992778943,0.0020887728459530026,0.0012831479897348161,0.0013972055888223553,0.0015481719661783971,0.0020845177184006065,0.0008274231678486998,0.001488095238095238,0.0007254261878853826,0.0012661926560825947,0.001145475372279496,0.0014196479273140261,0.0010949904188338351,0.001549186676994578,0.001539514197742046
4,0.005605281918189909,0.05478353821485837,0.05758683729433273,0.04739147749900438,0.0407640344747263,0.05300261096605744,0.04562303963501568,0.043512974051896205,0.036917946885792544,0.05021792685237825,0.04101654846335697,0.03571428571428571,0.057852738483859266,0.044998539008473754,0.048109965635738834,0.04713231118682567,0.05502326854640022,0.05015491866769946,0.05131713992473486
5,0.016361552332272537,0.0344735435595938,0.024223034734917732,0.03305455993628036,0.03680409969718146,0.037075718015665796,0.036926147704590816,0.028942115768463075,0.04084792187686078,0.04074284631419367,0.02955082742316785,0.04112554112554113,0.033369604642727604,0.021427875718320832,0.021534936998854524,0.025837592277115275,0.035313441007391186,0.03292021688613478,0.035750940814231955
9,0.0056681840843541345,0.013361838588989846,0.018281535648994516,0.010752688172043012,0.011297460982995574,0.010704960835509139,0.008696891930424864,0.015169660678642715,0.011194474216982256,0.01269660792116733,0.008037825059101654,0.009063852813852814,0.00961189698948132,0.01061653842407714,0.01168384879725086,0.016751845542305507,0.0093074185600876,0.011425251742835011,0.010605542251111872
10,0.037892730839301274,0.07536076964190272,0.050274223034734916,0.09597769812823577,0.08513859771721408,0.09634464751958224,0.08996293128029655,0.07405189620758483,0.08836489222341312,0.08622323289747963,0.08191489361702127,0.0799512987012987,0.07290533188248095,0.08386091360670109,0.05223367697594502,0.07722884724588303,0.09307418560087599,0.08830364058869093,0.07612042422169005
11,0.004083981380958815,0.022180652057723144,0.01851005484460695,0.011150935882118677,0.010249242953645469,0.008877284595300261,0.010122611919019104,0.015768463073852296,0.011313564368226748,0.014023119196513171,0.011229314420803783,0.014475108225108226,0.013964454116793616,0.011006136164410247,0.02038946162657503,0.02328222600795003,0.01368738023542294,0.012974438419829589,0.01111871365035922
12,0.0011834926078306209,0.00694815606627472,0.006170018281535649,0.003849727864064782,0.00395993477754484,0.0036553524804177544,0.00427715996578272,0.0027944111776447107,0.004882696201024175,0.0036005306045101384,0.004373522458628842,0.003787878787878788,0.004715270221254987,0.005843966104996591,0.004352806414662085,0.010505394662123793,0.002737476047084588,0.0029047250193648335,0.004447485460143688
13,0.010877415326695214,0.03099946552645644,0.024223034734917732,0.009026948095048453,0.01013277428371768,0.006527415143603133,0.00998003992015968,0.015568862275449102,0.03572704537334762,0.01762364980102331,0.01347517730496454,0.02096861471861472,0.02049328980776206,0.025810850297068276,0.024284077892325315,0.05678591709256105,0.016698603887215988,0.015879163439194422,0.0183031132398221
14,0.009747506045597081,0.023784072688401926,0.03930530164533821,0.019646887030399574,0.02026554856743536,0.02193211488250653,0.022383803820929568,0.0343313373253493,0.026080743122543767,0.02046617396247868,0.02021276595744681,0.026379870129870128,0.02720348204570185,0.014415116392324925,0.021764032073310423,0.021010789324247586,0.02272105119080208,0.023237800154918668,0.027198084160109475
15,0.008484803302596695,0.012827365045430252,0.010511882998171846,0.006371963361210673,0.00815280689494526,0.006527415143603133,0.007413743940690049,0.012175648702594811,0.01321900678813862,0.014023119196513171,0.012411347517730497,0.01204004329004329,0.01088139281828074,0.01061653842407714,0.009851088201603665,0.02385008517887564,0.008486175745962223,0.0087141750580945,0.013855627779678413
17,0.0026675177873347654,0.03500801710315339,0.03884826325411334,0.015531660692951015,0.016887957139529466,0.022976501305483028,0.016680923866552608,0.011377245508982036,0.024294390853876385,0.02539321584233466,0.019621749408983452,0.02002164502164502,0.044976423648893725,0.015778708483490795,0.03367697594501718,0.024701873935264053,0.016698603887215988,0.027885360185902403,0.023434827232295587
19,0.007019415801956024,0.01870657402458578,0.022851919561243144,0.00809770343820523,0.007221057535522944,0.006788511749347258,0.005275163957798689,0.003992015968063872,0.010956293914493272,0.007769566041311351,0.00508274231678487,0.0045995670995671,0.017954298150163223,0.008278951982078503,0.010767468499427262,0.004258943781942078,0.004927456884752259,0.011812548412083656,0.0059869996578857335
34,0.0009225651037419799,0.0008017103153393907,0.0011425959780621572,0.00039824771007566706,0.0011646866992778943,0.004177545691906005,0.000855431993156544,0.002594810379241517,0.0007145409074669524,0.0011370096645821489,0.0003546099290780142,0.000946969696969697,0.0034457743924555676,0.0007791954806662121,0.0004581901489117984,0.00028392958546280523,0.001368738023542294,0.0013555383423702555,0.0006842285323297981
