,baseline,voc 1,voc 2,voc 3,voc 4,voc 5,voc 6,voc 7,voc 8,voc 9,voc 10,voc 11,voc 12,voc 13,voc 14,voc 15,voc 16,voc 17,voc 18
0,0.0031659319418577067,0.005077498663816141,0.002722940776038121,0.004818632043903092,0.004922067268252666,0.004979035639412998,0.006445144657691206,0.007568213503286198,0.005640225609024361,0.0036245707745135446,0.004603942863888561,0.004311506332524926,0.003851797505502568,0.0042643923240938165,0.003258087037468001,0.004595060310166571,0.0055309734513274336,0.00528065714844514,0.004958112497862883
1,0.0041993221899418245,0.002939604489577766,0.002269117313365101,0.0016062106813010306,0.001757881167233095,0.001310272536687631,0.0007161271841879118,0.0009958175662218682,0.0008400336013440538,0.0011446012972148034,0.00035414945106835086,0.0006736728644570197,0.000917094644167278,0.0010660980810234541,0.0006981615080288574,0.0002871912693854107,0.000829646017699115,0.000586739683160571,0.0017096939647803042
2,0.004732457613385222,0.0037413148049171567,0.002722940776038121,0.0025431669120599652,0.0030469940232040315,0.002882599580712788,0.004010312231452306,0.00438159729137622,0.002280091203648146,0.0049599389545974815,0.004013693778774643,0.0032336297493936943,0.00293470286133529,0.001744524132583834,0.0023272050267628577,0.0022975301550832855,0.0030420353982300885,0.0033248582045765696,0.0017096939647803042
4,0.005857443815276796,0.005611972207375735,0.008622645790787383,0.0034801231428189,0.0037501464900972694,0.0047169811320754715,0.005299341162990547,0.0035849432383987254,0.00672026881075243,0.013353681800839375,0.009916184629913824,0.0068714632174616,0.009170946441672781,0.008431866640821864,0.009076099604375146,0.002010338885697875,0.0013827433628318584,0.005085077254058283,0.007864592237989399
5,0.0006317772198514267,0.0018706574024585784,0.0,0.0,0.0008203445447087777,0.0007861635220125787,0.00014322543683758235,0.001593308105954989,0.0,0.00038153376573826786,0.0014165978042734034,0.0005389382915656157,0.0,0.0010660980810234541,0.0006981615080288574,0.0002871912693854107,0.0002765486725663717,0.0,0.0006838775859121217
6,0.0037671771771066484,0.002672367717797969,0.0011345586566825505,0.0022754651318431266,0.0008203445447087777,0.013364779874213837,0.004010312231452306,0.0023899621589324837,0.005760230409216369,0.004578405188859214,0.004721992680911344,0.003907302613850714,0.0007336757153338225,0.002422950184144214,0.0006981615080288574,0.002871912693854107,0.004424778761061947,0.005671816937218854,0.004274234911950761
8,0.003008574790444898,0.018172100481026188,0.02087587928295893,0.01726676482398608,0.013477088948787063,0.02148846960167715,0.012890289315382412,0.0219079864568811,0.008880355214208569,0.02766119801602442,0.023255813953488372,0.014551333872271624,0.0376008804108584,0.03605349874006591,0.03141726786129858,0.014646754738655945,0.02959070796460177,0.017993350283590847,0.02427765429988032
11,0.003562847741690016,0.0013361838588989846,0.0011345586566825505,0.0009369562307589345,0.0004687683112621587,0.0007861635220125787,0.0007161271841879118,0.0009958175662218682,0.0014400576023040922,0.0007630675314765357,0.00011804981702278361,0.0010778765831312314,0.0011005135730007337,0.0007753440589261484,0.0009308820107051431,0.0008615738081562321,0.0005530973451327434,0.0009778994719342852,0.0008548469823901521
12,0.0018530566039508388,0.002405130946018172,0.015429997730882687,0.0050863338241199305,0.003984530645728348,0.0010482180293501049,0.0027212832999140646,0.005974905397331209,0.00012000480019200768,0.008012209080503624,0.000590249085113918,0.001886284020479655,0.009537784299339692,0.014246947082767978,0.0023272050267628577,0.0031591039632395176,0.00165929203539823,0.0041071777821239976,0.0029064797401265174
14,0.002771364756225589,0.002137894174238375,0.0006807351940095302,0.0005354035604336768,0.003164186101019571,0.001310272536687631,0.0002864508736751647,0.003784106751643099,0.0004800192007680307,0.008584509729111026,0.0031873450596151577,0.0005389382915656157,0.008070432868672046,0.011630160883892227,0.015592273679311148,0.0,0.00331858407079646,0.0007823195775474281,0.0020516327577363653
